Year,Material,Weight,Unit,Conversion,Unit2,Factor,Factor_Unit
2022,Crude,35811646.02782714,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Propane(C3),153371.093,ton,1000,kg/ton,0.393616041751558,kgCO2/kg
2022,Butane,99342.569018,ton,1000,kg/ton,3.10399229945845,kgCO2/kg
2022,Kerosene(등유),6.373,ton,1000,kg/ton,0.25294165723714,kgCO2/kg
2022,BD100,162526.7806036,ton,1000,kg/ton,5.8287942127519,kgCO2/kg
2022,B-C,777208.933972,ton,1000,kg/ton,0.239370225973517,kgCO2/kg
2022,Hydrogen,21971.7330068,ton,1000,kg/ton,0.709,kgCO2/kg
2022,H2 Rich Gas,19776.195521200003,ton,1000,kg/ton,0.709,kgCO2/kg
2022,Reformate,9135.754441453291,ton,1000,kg/ton,0.555602136343475,kgCO2/kg
2022,MTBE,20417.480253799997,ton,1000,kg/ton,1.08888475999545,kgCO2/kg
2022,BP-B,994.81036396,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Pentane,46946.113607,ton,1000,kg/ton,1.14552213617552,kgCO2/kg
2022,Naphtha,3822486.4396809996,ton,1000,kg/ton,0.342662333398159,kgCO2/kg
2022,LNG,514252.64587,ton,1000,kg/ton,0.27233871394237297,kgCO2/kg
2022,Methanol,111724.42,ton,1000,kg/ton,0.421405991940918,kgCO2/kg
2022,C4 Raffinate-3,19236.07,ton,1000,kg/ton,0.751677264119802,kgCO2/kg
2022,C9+,19468.338,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Recovered Oil (Slop Oil),8.72,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Off Gas,16365.428,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Base Oil,20885.259156,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Solvent Mixed Xylene,1000.511,ton,1000,kg/ton,0.91361741458026,kgCO2/kg
2022,Toluene,421376.651,ton,1000,kg/ton,0.825557222620877,kgCO2/kg
2022,Mixed Xylene,11954.535,ton,1000,kg/ton,0.91361741458026,kgCO2/kg
2022,BTX Mixture,214213.93300000002,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Propylene,1486.071,ton,1000,kg/ton,1.37588746405511,kgCO2/kg
2022,Mixed C4,1003.249,ton,1000,kg/ton,0.434302431861765,kgCO2/kg
2022,C4 Raffinate-1,20661.383,ton,1000,kg/ton,0.751677264119802,kgCO2/kg
2022,RPG (Raw Pyrolysis Gasoline),952.491,ton,1000,kg/ton,0.156269167195507,kgCO2/kg
2022,Iso-Butane,1308.666,ton,1000,kg/ton,0.751677264119802,kgCO2/kg
2022,Hexene,2994.441,ton,1000,kg/ton,0.8328910251937891,kgCO2/kg
2022,Chemical 구매,567940773486.0,원,1,-,0.0008931621570211763, kgCO2/원
2022,산업용가스,28702587023.0,원,1,-,0.001983132662147921, kgCO2/원
2022,포장부자재,8820661582.0,원,1,-,0.0013844860161907084, kgCO2/원
2022,포장용기(스틸),585293000.0,원,1,-,0.0010484657150700797, kgCO2/원
2022,포장용기(플라스틱),8640373702.0,원,1,-,0.0013844860161907084, kgCO2/원
2022,Facillity Support,33376716077.0,원,1,-,0.00020060752677550435, kgCO2/원
2022,기타서비스 용역,194306081373.0,원,1,-,0.0002360262165847536, kgCO2/원
2022,기타 부자재(Pallet),7049595970.0,원,1,-,0.0013485890169372874, kgCO2/원
2022,기계/설비 부품,58401832906.0,원,1,-,0.000683204076029332, kgCO2/원
2022,인증컨설팅용역,2967749090.0,원,1,-,0.0002360262165847536, kgCO2/원
2022,공업용수,27951470.0,m3,1000,kg/m3,0.000211, kgCO2/kg
