Year,Products,Amount,Unit,Conversion,Unit2,Factor,Factor_Unit
2022,Propane,262016.038,KL,0.5076,ton/k§¤,2.8486458000000003,kgCO2/kg
2022,Propane-Mixing,53462.766,KL,0.5076,ton/k§¤,2.8486458000000003,kgCO2/kg
2022,Butane,357483.233,KL,0.5797,ton/k§¤,2.8486458000000003,kgCO2/kg
2022,¹«ÃëºÎÅº,243309.713,KL,0.5797,ton/k§¤,2.8486458000000003,kgCO2/kg
2022,JET A-1,6743138.984,KL,0.7928,ton/k§¤,3.1641309,kgCO2/kg
2022,JP-5,70312.191,KL,0.804,ton/k§¤,3.1120306999999996,kgCO2/kg
2022,F-44,3202.767,KL,0.804,ton/k§¤,3.1120306999999996,kgCO2/kg
2022,JP-8,535.709,KL,0.7928,ton/k§¤,3.1120306999999996,kgCO2/kg
2022,AvBlend,19076.868,KL,0.7193,ton/k§¤,3.1120306999999996,kgCO2/kg
2022,P/ MOGAS,181844.844,KL,0.719,ton/k§¤,3.0875328,kgCO2/kg
2022,R/Mogas,7162675.925,KL,0.719,ton/k§¤,3.0875328,kgCO2/kg
2022,Kerosene,834042.977,KL,0.8023416845020773,ton/k§¤,3.1641309,kgCO2/kg
2022,ULSD,5280928.337,KL,0.8237,ton/k§¤,3.197007,kgCO2/kg
2022,Export LSD,9000067.894,KL,0.8237,ton/k§¤,3.197007,kgCO2/kg
2022,1.0%DSL,217625.481,KL,0.8237,ton/k§¤,3.197007,kgCO2/kg
2022,MARINE GASOIL,320396.249,KL,0.8393,ton/k§¤,3.197007,kgCO2/kg
2022,LSD,999624.749,KL,0.8237,ton/k§¤,3.197007,kgCO2/kg
2022,0.05% MGO,603054.314,KL,0.8393,ton/k§¤,3.197007,kgCO2/kg
2022,0.5%B-A,69.961,KL,0.8632,ton/k§¤,3.1797278,kgCO2/kg
2022,0.3%B-A,30147.25,KL,0.8632,ton/k§¤,3.1797278,kgCO2/kg
2022,0.3%LRFO,6599.735,KL,0.8632,ton/k§¤,3.1370196,kgCO2/kg
2022,0.5%B-C,88564.037,KL,0.9012,ton/k§¤,3.1579388,kgCO2/kg
2022,4.0%B-C,297866.943,KL,0.984,ton/k§¤,3.1579388,kgCO2/kg
2022,MF-380,916597.213,KL,1.0,ton/k§¤,3.197007,kgCO2/kg
2022,MF-500,1034452.932,KL,1.0,ton/k§¤,3.197007,kgCO2/kg
2022,VLSFO-RM,280421.679,KL,0.9013,ton/k§¤,3.197007,kgCO2/kg
2022,PFO,12694.069,KL,1.0374,ton/k§¤,3.0295,kgCO2/kg
2022,À±È°À¯,211045.94506260418,ton,1.0,-,3.1601261999999997,kgCO2/kg
